onset	duration	TrialID	WordID	stim_file
8.02014537	1	56	183	sounds/183.wav
20.03423407	1	57	182	sounds/182.wav
32.01492929	1	58	184	sounds/184.wav
44.02902827	1	59	186	sounds/186.wav
56.0096993	1	60	188	sounds/188.wav
68.02377644	1	61	187	sounds/187.wav
80.03789682	1	62	181	sounds/181.wav
92.01860431	1	63	185	sounds/185.wav
110.0146905	1	65	166	sounds/166.wav
122.0287894	1	66	168	sounds/168.wav
134.0261806	1	67	167	sounds/167.wav
146.0235581	1	68	165	sounds/165.wav
158.0209693	1	69	161	sounds/161.wav
170.0350474	1	70	164	sounds/164.wav
182.015752	1	71	163	sounds/163.wav
194.0298318	1	72	162	sounds/162.wav
212.0259448	1	74	134	sounds/134.wav
224.0233366	1	75	132	sounds/132.wav
236.0207151	1	76	138	sounds/138.wav
248.0348089	1	77	135	sounds/135.wav
260.0154837	1	78	133	sounds/133.wav
272.0295988	1	79	131	sounds/131.wav
284.0269887	1	80	136	sounds/136.wav
296.0243723	1	81	137	sounds/137.wav
