onset	duration	TrialID	WordID	stim_file
8.016504807	1	29	148	sounds/148.wav
20.03055572	1	30	146	sounds/146.wav
32.01087922	1	31	144	sounds/144.wav
44.02491687	1	32	145	sounds/145.wav
56.02230803	1	33	141	sounds/141.wav
68.01969149	1	34	147	sounds/147.wav
80.01696066	1	35	143	sounds/143.wav
92.03094009	1	36	142	sounds/142.wav
110.0268229	1	38	194	sounds/194.wav
122.0241721	1	39	195	sounds/195.wav
134.0214956	1	40	198	sounds/198.wav
146.0354575	1	41	196	sounds/196.wav
158.0158688	1	42	193	sounds/193.wav
170.0300468	1	43	197	sounds/197.wav
182.0105389	1	44	191	sounds/191.wav
194.0245933	1	45	192	sounds/192.wav
212.020387	1	47	184	sounds/184.wav
224.0345158	1	48	186	sounds/186.wav
236.0151266	1	49	182	sounds/182.wav
248.0290876	1	50	187	sounds/187.wav
260.0264792	1	51	183	sounds/183.wav
272.0237616	1	52	188	sounds/188.wav
284.0208258	1	53	185	sounds/185.wav
296.0349841	1	54	181	sounds/181.wav
